,sex,occupation,education-num,hours-per-week,age,marital-status,income
0,1,NOC-4,13,40,40,Never-married,0
1,1,NOC-1,13,20,50,Married,0
2,1,NOC-5,9,40,40,Seperated,0
3,1,NOC-5,7,40,50,Married,0
4,0,NOC-1,13,40,30,Married,0
5,0,NOC-1,13,40,40,Married,0
6,0,NOC-5,5,20,50,Married,0
7,1,NOC-1,9,45,50,Married,1
8,0,NOC-1,13,60,30,Never-married,1
9,1,NOC-1,13,40,40,Married,1
10,1,NOC-1,10,70,40,Married,1
11,1,NOC-1,13,40,30,Married,1
12,0,NOC-4,13,30,20,Never-married,0
13,1,NOC-2,12,60,30,Never-married,0
14,1,NOC-3,11,40,40,Married,1
15,1,NOC-3,5,45,30,Married,0
16,1,NOC-4,9,30,20,Never-married,0
17,1,NOC-4,9,40,30,Never-married,0
18,1,NOC-2,7,60,40,Married,0
19,0,NOC-1,13,45,40,Seperated,1
20,1,NOC-1,13,60,40,Married,1
21,0,NOC-5,9,20,50,Seperated,0
22,1,NOC-4,5,40,30,Married,0
23,1,NOC-3,7,40,40,Married,0
24,0,NOC-2,9,40,50,Seperated,0
25,1,NOC-2,13,40,50,Married,1
26,1,NOC-3,9,40,20,Never-married,0
27,1,NOC-7,10,60,50,Married,1
28,1,NOC-1,9,70,40,Seperated,0
29,1,NOC-3,9,40,50,Married,0
30,1,NOC-2,12,60,20,Never-married,0
31,1,NOC-2,10,45,20,Never-married,0
32,1,NOC-1,13,40,40,Seperated,0
33,1,NOC-4,10,40,30,Married,0
34,1,NOC-5,10,20,20,Married,0
35,1,NOC-4,7,40,50,Never-married,0
36,1,NOC-4,10,40,20,Never-married,0
37,0,NOC-4,9,30,20,Married,0
38,1,NOC-2,10,40,30,Married,1
39,1,NOC-1,12,40,50,Married,0
40,1,NOC-4,5,45,30,Married,0
41,1,NOC-1,13,40,50,Married,0
42,1,NOC-2,13,60,20,Married,0
43,0,NOC-4,9,40,50,Seperated,0
44,1,NOC-5,9,30,20,Never-married,0
45,1,NOC-1,13,40,50,Married,1
46,1,NOC-4,9,40,50,Married,0
47,0,NOC-1,13,40,40,Seperated,0
48,1,NOC-3,11,40,40,Married,0
49,1,NOC-1,11,45,30,Never-married,0
50,0,NOC-1,10,40,20,Married,0
51,0,NOC-5,9,30,20,Never-married,0
52,0,NOC-1,13,60,50,Married,1
53,1,NOC-1,13,60,50,Seperated,1
54,1,NOC-1,9,60,50,Seperated,0
55,1,NOC-2,10,40,40,Married,1
56,1,NOC-4,5,40,50,Married,0
57,1,NOC-5,11,40,30,Married,0
58,1,NOC-4,9,60,40,Married,0
59,1,NOC-4,9,40,30,Married,0
60,1,NOC-2,13,40,30,Married,0
61,1,NOC-7,5,40,30,Married,0
62,1,NOC-3,9,40,50,Married,0
63,1,NOC-1,13,45,40,Married,1
64,1,NOC-2,10,60,30,Seperated,0
65,1,NOC-3,9,40,40,Married,0
66,0,NOC-4,10,40,30,Seperated,0
67,0,NOC-4,9,40,50,Married,1
68,1,NOC-1,10,60,50,Married,1
69,1,NOC-7,10,40,20,Never-married,0
70,1,NOC-1,10,30,20,Never-married,0
71,0,NOC-2,13,40,30,Seperated,0
72,1,NOC-2,13,70,30,Married,1
73,1,NOC-4,10,40,20,Never-married,0
74,1,NOC-1,10,20,70,Married,0
75,1,NOC-5,9,40,30,Never-married,0
76,1,NOC-4,12,40,40,Married,0
77,1,NOC-7,6,20,70,Married,0
78,0,NOC-5,7,30,20,Never-married,0
79,1,NOC-4,5,40,30,Married,0
80,1,NOC-2,9,30,20,Never-married,0
81,1,NOC-5,13,40,50,Married,0
82,0,NOC-5,9,40,50,Married,0
83,1,NOC-2,9,60,50,Married,0
84,0,NOC-3,9,40,40,Seperated,1
85,0,NOC-2,9,30,50,Seperated,0
86,1,NOC-2,9,40,50,Married,1
87,1,NOC-1,13,60,30,Married,0
88,1,NOC-2,5,40,30,Never-married,0
89,0,NOC-1,13,60,40,Never-married,1
90,1,NOC-1,11,40,50,Married,0
91,0,NOC-3,10,40,40,Seperated,0
92,0,NOC-4,10,30,30,Seperated,0
93,0,NOC-2,9,30,30,Married,0
94,1,NOC-2,13,40,30,Married,1
95,1,NOC-5,10,60,30,Never-married,0
96,1,NOC-1,13,60,50,Married,1
97,1,NOC-2,10,60,40,Married,1
98,0,NOC-1,12,40,50,Seperated,0
99,1,NOC-5,9,40,30,Never-married,0
100,1,NOC-1,13,40,70,Married,1
101,1,NOC-1,13,60,40,Married,1
102,0,NOC-1,13,60,50,Never-married,0
103,0,NOC-2,10,40,20,Never-married,0
104,1,NOC-3,9,40,30,Never-married,0
105,1,NOC-3,9,40,30,Married,1
106,0,NOC-7,6,30,20,Never-married,0
107,1,NOC-5,7,40,30,Never-married,0
108,0,NOC-4,9,40,30,Never-married,0
109,1,NOC-5,9,40,40,Married,0
110,1,NOC-2,13,40,20,Never-married,0
111,1,NOC-1,13,40,40,Married,1
112,1,NOC-5,9,60,50,Married,1
113,0,NOC-2,10,30,30,Married,0
114,0,NOC-4,9,40,40,Never-married,0
115,1,NOC-5,5,60,50,Married,0
116,1,NOC-2,10,60,50,Married,0
117,1,NOC-3,11,40,50,Married,1
118,1,NOC-2,10,60,50,Married,0
119,1,NOC-3,9,45,20,Never-married,0
120,0,NOC-5,10,40,20,Never-married,0
121,1,NOC-1,13,60,40,Married,0
122,1,NOC-1,13,40,30,Never-married,0
123,1,NOC-1,13,60,30,Married,1
124,1,NOC-5,10,30,20,Never-married,0
125,0,NOC-1,13,40,50,Married,1
126,0,NOC-4,10,30,20,Never-married,0
127,1,NOC-4,12,40,30,Married,1
128,1,NOC-7,9,40,30,Married,0
129,1,NOC-3,10,40,40,Seperated,0
130,0,NOC-2,12,60,30,Never-married,0
131,0,NOC-5,9,40,20,Never-married,0
132,1,NOC-3,9,30,40,Married,0
133,1,NOC-2,13,60,40,Married,0
134,0,NOC-2,12,40,50,Seperated,0
135,1,NOC-1,13,40,40,Married,1
136,1,NOC-3,9,60,40,Married,0
137,0,NOC-4,11,30,30,Married,0
138,1,NOC-2,10,20,20,Never-married,0
139,1,NOC-3,10,40,50,Married,1
140,1,NOC-3,9,40,70,Married,0
141,0,NOC-2,10,40,30,Never-married,0
142,1,NOC-5,10,30,20,Never-married,0
143,0,NOC-1,11,40,40,Never-married,1
144,1,NOC-2,10,40,70,Never-married,0
145,0,NOC-3,9,30,30,Never-married,0
146,1,NOC-5,10,30,20,Married,0
147,0,NOC-5,9,30,40,Seperated,0
148,1,NOC-3,7,40,70,Married,0
149,0,NOC-7,10,40,40,Seperated,0
150,0,NOC-4,10,40,50,Seperated,0
151,0,NOC-4,9,40,30,Never-married,0
152,0,NOC-1,13,40,30,Never-married,0
153,1,NOC-3,9,30,20,Never-married,0
154,1,NOC-7,9,45,50,Seperated,1
155,1,NOC-3,9,60,50,Married,0
156,1,NOC-5,13,40,20,Never-married,0
157,1,NOC-2,10,20,70,Seperated,0
158,1,NOC-3,9,60,30,Seperated,0
159,1,NOC-5,13,60,40,Seperated,0
160,0,NOC-7,5,20,70,Seperated,0
161,0,NOC-5,9,40,20,Never-married,0
162,0,NOC-1,13,40,40,Seperated,0
163,0,NOC-1,9,40,30,Never-married,0
164,1,NOC-2,13,40,40,Married,1
165,0,NOC-5,10,40,40,Seperated,0
166,1,NOC-1,12,45,40,Never-married,0
167,1,NOC-2,13,40,50,Seperated,0
168,1,NOC-5,7,20,20,Never-married,0
169,0,NOC-1,11,20,70,Seperated,0
170,1,NOC-5,9,40,30,Never-married,0
171,1,NOC-2,9,40,30,Married,0
172,1,NOC-2,10,40,50,Married,1
173,1,NOC-3,13,60,30,Never-married,0
174,1,NOC-1,13,40,30,Married,1
175,0,NOC-2,9,30,30,Married,0
176,1,NOC-3,9,40,20,Never-married,0
177,1,NOC-5,9,40,30,Never-married,0
178,1,NOC-5,9,20,20,Never-married,0
179,1,NOC-1,13,70,30,Married,0
180,1,NOC-1,10,40,40,Married,1
181,0,NOC-4,10,40,40,Seperated,0
182,1,NOC-3,10,45,30,Never-married,0
183,1,NOC-4,5,40,40,Married,1
184,1,NOC-4,10,45,40,Married,1
185,1,NOC-4,9,40,30,Married,0
186,0,NOC-1,13,40,40,Seperated,0
187,0,NOC-7,13,60,50,Seperated,0
188,0,NOC-1,13,60,30,Married,0
189,1,NOC-1,13,20,50,Married,1
190,0,NOC-4,10,30,40,Seperated,0
191,1,NOC-4,10,40,20,Married,0
192,1,NOC-3,13,40,40,Married,0
193,1,NOC-2,10,45,50,Married,0
194,1,NOC-2,13,30,40,Married,0
195,1,NOC-3,5,40,20,Married,0
196,1,NOC-3,10,40,40,Seperated,0
197,0,NOC-1,13,60,40,Never-married,1
198,1,NOC-1,13,40,30,Married,1
199,1,NOC-2,9,40,20,Never-married,0
200,0,NOC-1,13,40,30,Never-married,0
201,1,NOC-7,9,40,20,Never-married,0
202,1,NOC-1,13,60,50,Married,1
203,0,NOC-1,10,40,40,Never-married,0
204,0,NOC-4,9,30,40,Seperated,0
205,0,NOC-2,7,40,20,Never-married,0
206,1,NOC-5,13,40,40,Married,1
207,1,NOC-3,9,60,30,Seperated,0
208,0,NOC-2,9,30,50,Married,1
209,0,NOC-2,7,20,20,Never-married,0
210,1,NOC-3,9,40,40,Married,0
211,1,NOC-3,9,40,40,Married,1
212,0,NOC-2,10,40,30,Never-married,0
213,1,NOC-3,9,40,50,Married,0
214,1,NOC-4,5,40,50,Married,1
215,1,NOC-1,13,60,40,Never-married,1
216,0,NOC-2,12,40,50,Seperated,0
217,1,NOC-2,13,60,40,Married,0
218,1,NOC-1,13,60,40,Married,0
219,1,NOC-3,6,40,20,Never-married,0
220,1,NOC-5,10,40,30,Married,0
221,1,NOC-7,5,40,70,Seperated,0
222,1,NOC-5,9,40,70,Never-married,0
223,1,NOC-4,9,20,50,Married,0
224,0,NOC-4,5,30,50,Never-married,0
225,0,NOC-2,9,40,20,Never-married,0
226,0,NOC-7,6,20,50,Seperated,0
227,1,NOC-4,9,60,70,Married,0
228,0,NOC-4,11,20,70,Seperated,0
229,0,NOC-4,9,40,70,Seperated,0
230,1,NOC-3,7,40,30,Seperated,0
231,0,NOC-2,9,40,40,Seperated,0
232,1,NOC-4,10,45,20,Never-married,0
233,0,NOC-3,10,40,30,Seperated,0
234,1,NOC-1,13,60,30,Never-married,1
235,1,NOC-5,9,40,50,Married,0
