occupation,education-num,hours-per-week,age,marital-status,sex,income
NOC-4,13,40,40,Never-married,Male,<=50K
NOC-1,13,20,50,Married,Male,<=50K
NOC-5,9,40,40,Seperated,Male,<=50K
NOC-5,7,40,50,Married,Male,<=50K
NOC-1,13,40,30,Married,Female,<=50K
NOC-1,13,40,40,Married,Female,<=50K
NOC-5,5,20,50,Married,Female,<=50K
NOC-1,9,45,50,Married,Male,>50K
NOC-1,13,60,30,Never-married,Female,>50K
NOC-1,13,40,40,Married,Male,>50K
NOC-1,10,70,40,Married,Male,>50K
NOC-1,13,40,30,Married,Male,>50K
NOC-4,13,30,20,Never-married,Female,<=50K
NOC-2,12,60,30,Never-married,Male,<=50K
NOC-3,11,40,40,Married,Male,>50K
NOC-3,5,45,30,Married,Male,<=50K
NOC-4,9,30,20,Never-married,Male,<=50K
NOC-4,9,40,30,Never-married,Male,<=50K
NOC-2,7,60,40,Married,Male,<=50K
NOC-1,13,45,40,Seperated,Female,>50K
NOC-1,13,60,40,Married,Male,>50K
NOC-5,9,20,50,Seperated,Female,<=50K
NOC-4,5,40,30,Married,Male,<=50K
NOC-3,7,40,40,Married,Male,<=50K
NOC-2,9,40,50,Seperated,Female,<=50K
NOC-2,13,40,50,Married,Male,>50K
NOC-3,9,40,20,Never-married,Male,<=50K
NOC-7,10,60,50,Married,Male,>50K
NOC-1,9,70,40,Seperated,Male,<=50K
NOC-3,9,40,50,Married,Male,<=50K
NOC-2,12,60,20,Never-married,Male,<=50K
NOC-2,10,45,20,Never-married,Male,<=50K
NOC-1,13,40,40,Seperated,Male,<=50K
NOC-4,10,40,30,Married,Male,<=50K
NOC-5,10,20,20,Married,Male,<=50K
NOC-4,7,40,50,Never-married,Male,<=50K
NOC-4,10,40,20,Never-married,Male,<=50K
NOC-4,9,30,20,Married,Female,<=50K
NOC-2,10,40,30,Married,Male,>50K
NOC-1,12,40,50,Married,Male,<=50K
NOC-4,5,45,30,Married,Male,<=50K
NOC-1,13,40,50,Married,Male,<=50K
NOC-2,13,60,20,Married,Male,<=50K
NOC-4,9,40,50,Seperated,Female,<=50K
NOC-5,9,30,20,Never-married,Male,<=50K
NOC-1,13,40,50,Married,Male,>50K
NOC-4,9,40,50,Married,Male,<=50K
NOC-1,13,40,40,Seperated,Female,<=50K
NOC-3,11,40,40,Married,Male,<=50K
NOC-1,11,45,30,Never-married,Male,<=50K
NOC-1,10,40,20,Married,Female,<=50K
NOC-5,9,30,20,Never-married,Female,<=50K
NOC-1,13,60,50,Married,Female,>50K
NOC-1,13,60,50,Seperated,Male,>50K
NOC-1,9,60,50,Seperated,Male,<=50K
NOC-2,10,40,40,Married,Male,>50K
NOC-4,5,40,50,Married,Male,<=50K
NOC-5,11,40,30,Married,Male,<=50K
NOC-4,9,60,40,Married,Male,<=50K
NOC-4,9,40,30,Married,Male,<=50K
NOC-2,13,40,30,Married,Male,<=50K
NOC-7,5,40,30,Married,Male,<=50K
NOC-3,9,40,50,Married,Male,<=50K
NOC-1,13,45,40,Married,Male,>50K
NOC-2,10,60,30,Seperated,Male,<=50K
NOC-3,9,40,40,Married,Male,<=50K
NOC-4,10,40,30,Seperated,Female,<=50K
NOC-4,9,40,50,Married,Female,>50K
NOC-1,10,60,50,Married,Male,>50K
NOC-7,10,40,20,Never-married,Male,<=50K
NOC-1,10,30,20,Never-married,Male,<=50K
NOC-2,13,40,30,Seperated,Female,<=50K
NOC-2,13,70,30,Married,Male,>50K
NOC-4,10,40,20,Never-married,Male,<=50K
NOC-1,10,20,70,Married,Male,<=50K
NOC-5,9,40,30,Never-married,Male,<=50K
NOC-4,12,40,40,Married,Male,<=50K
NOC-7,6,20,70,Married,Male,<=50K
NOC-5,7,30,20,Never-married,Female,<=50K
NOC-4,5,40,30,Married,Male,<=50K
NOC-2,9,30,20,Never-married,Male,<=50K
NOC-5,13,40,50,Married,Male,<=50K
NOC-5,9,40,50,Married,Female,<=50K
NOC-2,9,60,50,Married,Male,<=50K
NOC-3,9,40,40,Seperated,Female,>50K
NOC-2,9,30,50,Seperated,Female,<=50K
NOC-2,9,40,50,Married,Male,>50K
NOC-1,13,60,30,Married,Male,<=50K
NOC-2,5,40,30,Never-married,Male,<=50K
NOC-1,13,60,40,Never-married,Female,>50K
NOC-1,11,40,50,Married,Male,<=50K
NOC-3,10,40,40,Seperated,Female,<=50K
NOC-4,10,30,30,Seperated,Female,<=50K
NOC-2,9,30,30,Married,Female,<=50K
NOC-2,13,40,30,Married,Male,>50K
NOC-5,10,60,30,Never-married,Male,<=50K
NOC-1,13,60,50,Married,Male,>50K
NOC-2,10,60,40,Married,Male,>50K
NOC-1,12,40,50,Seperated,Female,<=50K
NOC-5,9,40,30,Never-married,Male,<=50K
NOC-1,13,40,70,Married,Male,>50K
NOC-1,13,60,40,Married,Male,>50K
NOC-1,13,60,50,Never-married,Female,<=50K
NOC-2,10,40,20,Never-married,Female,<=50K
NOC-3,9,40,30,Never-married,Male,<=50K
NOC-3,9,40,30,Married,Male,>50K
NOC-7,6,30,20,Never-married,Female,<=50K
NOC-5,7,40,30,Never-married,Male,<=50K
NOC-4,9,40,30,Never-married,Female,<=50K
NOC-5,9,40,40,Married,Male,<=50K
NOC-2,13,40,20,Never-married,Male,<=50K
NOC-1,13,40,40,Married,Male,>50K
