doors,class,buying,maint,safety,persons,repaired_weights
1,0,2,2,2,1,2.000997810357746
3,0,2,2,2,1,3.00151453515273
0,0,2,2,2,1,1.9964215058235084
2,0,2,2,2,1,2.001312411496371
1,2,2,0,2,0,2.0009978504345347
3,2,2,0,2,0,3.001229832425024
0,2,2,0,2,0,1.000533593916348
2,2,2,0,2,0,2.000997840522954
1,0,1,0,2,2,1.820685991863546
3,0,1,0,2,2,2.7684371774945506
0,0,1,0,2,2,2.6875097313329754
2,0,1,0,2,2,2.760564053388491
1,2,1,0,2,2,0.18056499911628401
3,2,1,0,2,2,0.27455742436736214
0,2,1,0,2,2,0.2665315130844993
2,2,1,0,2,2,0.2737766139181105
1,1,2,1,0,1,0.9988837336471456
3,1,2,1,0,1,0.9986767038067034
0,1,2,1,0,1,1.4931267174255833
2,1,2,1,0,1,1.4986531948044812
1,3,2,1,0,1,1.0027281860260395
3,3,2,1,0,1,1.0025203593797871
0,3,2,1,0,1,1.4988733868000435
2,3,2,1,0,1,1.504421134201058
1,2,3,1,0,0,3.0014359140919655
3,2,3,1,0,0,3.0014359140919655
0,2,3,1,0,0,3.0014359140919655
2,2,3,1,0,0,3.0014359140919655
1,0,0,0,2,1,0.8884981204269362
3,0,0,0,2,1,0.8875879186456115
0,0,0,0,2,1,1.335741680046633
2,0,0,0,2,1,0.886612352814216
1,2,0,0,2,1,1.1059884586202355
3,2,0,0,2,1,1.1048554537865543
0,2,0,0,2,1,1.6627101936014321
2,2,0,0,2,1,1.103641084813405
1,2,2,3,1,1,1.000533593916348
3,2,2,3,1,1,0.9985288217007018
0,2,2,3,1,1,2.001381799951991
2,2,2,3,1,1,0.9989625575870938
1,0,2,1,2,1,0.9995439377811962
3,0,2,1,2,1,0.9998862803980819
0,0,2,1,2,1,1.4921382572398572
2,0,2,1,2,1,1.4993086845451298
1,1,2,1,2,1,0.999583331346707
3,1,2,1,2,1,0.9999256874558422
0,1,2,1,2,1,1.492197064705908
2,1,2,1,2,1,1.4993677746087606
1,2,0,2,1,1,3.0030056193626407
3,2,0,2,1,1,1.9992115529070615
0,2,0,2,1,1,3.002555354508009
2,2,0,2,1,1,2.000997840522953
1,2,3,2,2,0,3.0014359140919655
3,2,3,2,2,0,1.9937387116314593
0,2,3,2,2,0,1.00065073681912
2,2,3,2,2,0,2.0009977312292913
