doors,class,buying,maint,safety,persons,repaired_weights
0,0,2,2,2,1,3.002985586747987
1,0,2,2,2,1,6.005068493240981
1,2,2,0,2,0,3.0026383035405897
2,2,2,0,2,0,5.004269361368531
0,0,1,0,2,2,0.9240998354502539
1,0,1,0,2,2,7.340928711877513
2,0,1,0,2,2,1.8059722144962864
0,2,1,0,2,2,0.09080554637706317
1,2,1,0,2,2,0.7213474313328048
2,2,1,0,2,2,0.17746166311048767
1,1,2,1,0,1,2.4843047172763817
3,1,2,1,0,1,2.484304372897318
1,3,2,1,0,1,2.484305061655493
3,3,2,1,0,1,2.4843047172763826
1,2,3,1,0,0,2.0017994497344613
2,2,3,1,0,0,10.008191875195369
1,0,0,0,2,1,2.2235259971184154
2,0,0,0,2,1,1.7827066052055551
1,2,0,0,2,1,2.7617054524089992
2,2,0,0,2,1,2.2141906854347986
1,2,2,3,1,1,1.0009344124142154
2,2,2,3,1,1,4.003460154105244
1,0,2,1,2,1,4.002054817489159
2,0,2,1,2,1,0.9988274779541472
1,1,2,1,2,1,4.004865426824151
2,1,2,1,2,1,0.9995289460653077
1,2,0,2,1,1,4.003460147900993
2,2,0,2,1,1,6.005068493240981
1,2,3,2,2,0,3.0026383035405897
2,2,3,2,2,0,5.004620064303553
1,2,3,3,1,2,4.003460154105244
2,2,3,3,1,2,7.00585924649389
0,0,3,1,2,1,0.4500079313009091
1,0,3,1,2,1,2.704450900405573
2,0,3,1,2,1,1.8064724447663505
0,2,3,1,2,1,0.5457915590511461
1,2,3,1,2,1,3.2800899065101676
2,2,3,1,2,1,2.1909778549051317
1,2,2,1,1,0,3.002638303533812
2,2,2,1,1,0,7.00585924649389
0,0,1,1,2,2,0.21941545044905053
1,0,1,1,2,2,1.5506307550951557
2,0,1,1,2,2,0.21873747848091998
0,2,1,1,2,2,0.10969939911432186
1,2,1,1,2,2,0.7752565361007916
2,2,1,1,2,2,0.1093604388571109
0,1,1,1,2,2,0.6674535805549596
1,1,1,1,2,2,4.716960667486036
2,1,1,1,2,2,0.6653912152259981
0,0,1,3,2,1,0.9918190820560594
1,0,1,3,2,1,1.983460898194537
2,0,1,3,2,1,2.975433682204681
0,2,1,3,2,1,1.0049700852646872
1,2,1,3,2,1,2.0097605541582744
2,2,1,3,2,1,3.014886379384712
0,0,0,1,0,2,0.9238193126460884
1,0,0,1,0,2,8.17357168276763
2,0,0,1,0,2,0.8937039280614445
0,2,0,1,0,2,0.09139972676677874
1,2,0,1,0,2,0.8086670285922438
2,2,0,1,0,2,0.08842020697883576
1,0,2,0,2,2,4.213368534000705
2,0,2,0,2,2,2.786952362790607
1,2,2,0,2,2,1.803742726558559
2,2,2,0,2,2,1.1930940797328093
1,2,3,0,2,2,2.001799331292299
2,2,3,0,2,2,9.007420136687971
1,2,3,2,1,2,3.0026380059796365
2,2,3,2,1,2,7.00585924649389
0,0,3,2,2,1,0.6015351198695718
1,0,3,2,2,1,4.19332046079825
2,0,3,2,2,1,1.1936343450826585
0,2,3,2,2,1,0.40259973960129736
1,2,3,2,2,1,2.8065355950425954
2,2,3,2,2,1,0.7988841559469386
0,0,1,3,2,2,0.7141872024610268
1,0,1,3,2,2,2.124411744452511
2,0,1,3,2,2,2.1066436957050363
0,2,1,3,2,2,0.2888790545429409
