,race,c-charge-degree,age-cat,priors-count,is-recid
1,0.0,0.0,1,0,0
2,0.0,0.0,0,2,0
3,0.0,0.0,0,1,1
6,1.0,0.0,1,2,0
8,1.0,1.0,1,0,1
9,1.0,0.0,0,1,0
10,1.0,0.0,1,0,1
11,0.0,1.0,0,1,0
12,1.0,1.0,1,0,1
13,0.0,0.0,1,0,1
14,1.0,0.0,2,1,0
15,0.0,0.0,1,2,0
17,0.0,0.0,1,1,1
18,1.0,0.0,1,2,0
19,1.0,0.0,1,2,0
20,0.0,0.0,2,2,0
21,0.0,0.0,0,1,0
22,1.0,1.0,1,0,0
23,1.0,0.0,0,0,1
25,1.0,1.0,1,1,1
27,0.0,0.0,1,2,0
28,1.0,0.0,1,1,1
29,0.0,0.0,1,2,0
30,0.0,0.0,1,0,0
31,1.0,0.0,1,2,0
32,0.0,0.0,1,2,0
33,1.0,0.0,2,0,1
35,1.0,1.0,1,2,1
36,1.0,1.0,1,2,0
37,1.0,1.0,0,1,0
38,0.0,0.0,1,2,0
39,1.0,1.0,1,0,1
40,0.0,0.0,0,1,1
41,0.0,1.0,2,1,1
42,1.0,1.0,1,1,0
43,0.0,0.0,2,2,1
44,0.0,0.0,1,0,0
45,1.0,1.0,1,2,0
46,0.0,0.0,1,2,0
47,1.0,1.0,2,0,1
48,0.0,1.0,1,2,0
49,0.0,0.0,1,0,1
50,1.0,0.0,1,1,0
52,1.0,0.0,2,2,0
54,0.0,0.0,1,2,0
55,0.0,0.0,0,1,0
57,0.0,1.0,2,2,1
58,1.0,0.0,2,2,1
59,0.0,0.0,1,2,1
60,0.0,1.0,2,2,0
61,0.0,0.0,1,2,0
62,1.0,1.0,1,2,0
63,0.0,0.0,0,1,0
64,0.0,0.0,0,1,0
65,0.0,0.0,1,2,0
67,0.0,0.0,1,2,0
69,0.0,1.0,2,0,1
72,0.0,1.0,1,1,1
73,0.0,0.0,1,2,0
74,1.0,0.0,1,1,0
75,0.0,0.0,1,1,1
76,0.0,1.0,0,1,0
77,1.0,0.0,0,0,1
78,0.0,0.0,1,1,0
79,1.0,0.0,1,1,0
80,0.0,0.0,1,0,1
81,0.0,1.0,1,1,1
82,0.0,1.0,1,2,0
84,0.0,0.0,1,2,0
86,0.0,0.0,0,1,0
87,0.0,1.0,0,1,0
88,0.0,1.0,1,1,1
89,0.0,0.0,1,2,0
90,1.0,0.0,1,2,0
92,1.0,0.0,1,2,0
93,0.0,1.0,2,2,1
94,1.0,0.0,0,0,1
95,1.0,0.0,1,1,0
96,1.0,0.0,2,1,1
97,1.0,1.0,2,0,1
99,0.0,1.0,0,1,0
100,0.0,0.0,0,1,1
101,0.0,0.0,1,1,1
102,1.0,0.0,1,0,0
103,1.0,0.0,0,2,0
104,1.0,0.0,1,0,1
105,1.0,1.0,1,0,1
106,1.0,0.0,1,1,1
107,0.0,0.0,2,2,0
108,1.0,0.0,1,1,1
109,0.0,0.0,0,1,0
110,1.0,1.0,1,2,0
111,1.0,0.0,1,0,1
112,0.0,0.0,1,2,0
113,0.0,0.0,1,1,1
114,1.0,0.0,1,1,0
115,0.0,0.0,1,2,0
116,0.0,0.0,0,0,0
117,0.0,0.0,1,2,0
118,0.0,1.0,1,1,1
120,1.0,0.0,1,2,0
121,0.0,0.0,1,1,0
122,0.0,0.0,2,2,1
123,1.0,1.0,2,1,1
124,0.0,0.0,1,2,0
125,1.0,1.0,2,1,1
126,1.0,0.0,0,2,0
127,1.0,0.0,1,2,1
128,1.0,0.0,1,1,1
129,1.0,1.0,1,1,1
130,1.0,0.0,1,1,1
132,1.0,1.0,1,0,0
133,0.0,1.0,0,0,1
134,1.0,0.0,1,2,0
135,1.0,1.0,1,1,0
137,0.0,0.0,1,1,0
138,1.0,1.0,1,1,0
139,0.0,1.0,1,1,0
140,1.0,0.0,2,1,0
141,1.0,0.0,2,2,1
142,0.0,0.0,0,1,1
143,1.0,1.0,1,0,1
144,0.0,0.0,1,2,0
145,0.0,0.0,1,2,0
146,0.0,1.0,1,2,0
147,0.0,0.0,1,0,0
148,0.0,0.0,1,2,0
149,0.0,0.0,1,1,0
150,0.0,0.0,0,0,1
151,1.0,1.0,1,0,1
152,0.0,0.0,2,1,0
155,0.0,0.0,1,2,0
158,0.0,1.0,1,1,0
159,0.0,1.0,2,1,1
160,1.0,1.0,1,1,1
161,1.0,0.0,1,1,0
162,0.0,0.0,1,1,1
163,1.0,1.0,2,1,1
164,0.0,0.0,0,1,1
165,1.0,0.0,2,2,0
166,1.0,0.0,2,2,1
167,1.0,0.0,1,0,1
168,0.0,1.0,1,1,0
170,0.0,0.0,1,2,1
172,0.0,0.0,2,2,1
173,1.0,0.0,1,2,1
174,1.0,0.0,2,1,1
176,0.0,1.0,1,2,0
179,1.0,1.0,2,1,0
180,1.0,0.0,2,0,1
182,0.0,0.0,1,2,0
183,0.0,0.0,0,1,0
184,0.0,1.0,2,2,0
185,0.0,1.0,0,0,0
187,1.0,0.0,1,1,0
188,0.0,0.0,2,1,0
189,1.0,1.0,2,2,0
191,0.0,0.0,1,2,0
192,0.0,1.0,1,1,0
193,1.0,0.0,1,0,0
194,0.0,0.0,1,2,0
195,1.0,0.0,2,1,1
196,0.0,0.0,0,0,0
197,0.0,1.0,1,1,0
198,0.0,1.0,0,1,1
200,1.0,0.0,2,1,1
201,1.0,1.0,1,0,1
202,1.0,1.0,1,2,1
203,0.0,0.0,1,2,0
205,0.0,0.0,1,1,0
206,0.0,1.0,1,0,1
207,0.0,0.0,1,0,1
208,1.0,0.0,1,2,0
209,1.0,0.0,1,2,0
210,0.0,0.0,1,1,1
211,1.0,1.0,1,1,1
212,0.0,0.0,1,1,1
213,1.0,0.0,2,2,0
214,0.0,0.0,1,2,1
215,0.0,1.0,1,1,1
216,0.0,0.0,2,1,1
218,1.0,0.0,2,1,1
219,1.0,1.0,2,0,0
220,1.0,1.0,2,0,1
222,0.0,0.0,2,0,1
223,1.0,0.0,1,2,0
224,0.0,0.0,1,1,1
225,0.0,1.0,1,2,1
226,0.0,0.0,1,2,0
227,0.0,1.0,1,0,0
229,0.0,0.0,2,2,1
230,0.0,0.0,0,1,1
231,0.0,0.0,1,1,0
232,0.0,1.0,1,0,1
233,1.0,0.0,2,0,1
234,1.0,0.0,1,2,0
235,0.0,0.0,2,0,1
236,1.0,0.0,1,1,1
237,0.0,1.0,1,2,0
238,1.0,0.0,1,1,1
239,0.0,0.0,0,0,1
240,0.0,0.0,1,2,1
242,1.0,0.0,1,0,0
243,1.0,0.0,1,0,0
244,0.0,0.0,1,2,1
245,0.0,1.0,1,2,1
246,1.0,1.0,2,1,1
247,0.0,0.0,1,2,0
248,1.0,1.0,1,2,0
249,0.0,0.0,1,0,1
250,1.0,1.0,0,1,0
253,1.0,0.0,1,2,0
254,1.0,0.0,1,2,1
255,0.0,1.0,0,1,0
256,1.0,1.0,0,1,0
257,0.0,1.0,1,1,0
260,1.0,0.0,0,2,0
262,0.0,1.0,1,1,1
263,0.0,0.0,0,1,0
264,0.0,0.0,1,1,0
266,0.0,0.0,1,2,1
267,1.0,1.0,1,1,0
268,0.0,0.0,1,1,1
269,0.0,0.0,0,0,1
271,0.0,0.0,2,0,1
272,0.0,0.0,0,0,0
273,0.0,0.0,2,0,1
274,0.0,0.0,2,2,0
275,1.0,0.0,1,0,1
276,1.0,0.0,1,0,0
277,0.0,0.0,1,2,0
278,0.0,1.0,0,1,0
279,1.0,0.0,0,1,1
280,0.0,0.0,1,1,1
281,1.0,0.0,1,1,1
282,0.0,1.0,1,1,1
284,0.0,1.0,1,2,1
285,0.0,0.0,2,1,0
286,0.0,0.0,1,0,1
287,1.0,0.0,1,1,1
288,0.0,1.0,1,1,0
289,1.0,1.0,2,1,1
290,1.0,0.0,2,2,0
291,1.0,0.0,2,1,1
292,0.0,1.0,0,0,0
293,0.0,1.0,1,1,0
295,1.0,1.0,1,2,1
296,0.0,0.0,0,1,0
297,0.0,1.0,1,2,1
298,1.0,0.0,0,0,0
299,0.0,0.0,1,2,0
300,0.0,0.0,1,1,1
301,0.0,0.0,1,2,0
303,1.0,1.0,1,1,0
304,1.0,0.0,2,1,1
305,0.0,1.0,0,0,1
306,0.0,0.0,0,1,0
307,0.0,1.0,0,2,0
308,1.0,0.0,2,0,1
309,0.0,1.0,1,2,0
310,1.0,0.0,1,2,1
312,0.0,0.0,1,2,1
314,0.0,1.0,1,0,1
315,1.0,1.0,1,0,0
316,1.0,1.0,1,1,0
317,1.0,0.0,1,0,1
319,0.0,0.0,1,0,1
320,0.0,0.0,0,0,0
321,1.0,1.0,2,0,1
322,1.0,1.0,2,0,1
323,0.0,0.0,1,2,1
324,0.0,0.0,0,0,0
325,1.0,0.0,2,2,1
326,1.0,0.0,1,2,1
327,0.0,0.0,0,1,0
328,1.0,0.0,2,2,0
329,1.0,1.0,1,1,0
330,0.0,0.0,2,1,1
332,0.0,0.0,1,0,1
333,1.0,1.0,1,1,0
335,1.0,0.0,1,1,1
336,0.0,0.0,0,0,0
337,1.0,1.0,1,0,1
338,0.0,0.0,0,0,1
339,0.0,0.0,1,1,0
341,0.0,0.0,1,0,1
342,1.0,1.0,1,0,1
345,0.0,0.0,1,1,1
346,0.0,0.0,1,2,0
347,0.0,0.0,0,1,1
348,0.0,0.0,2,1,1
350,1.0,0.0,1,0,1
351,0.0,0.0,0,1,0
354,1.0,0.0,0,0,1
355,1.0,1.0,2,0,1
356,1.0,0.0,0,1,1
357,0.0,1.0,1,2,0
358,1.0,0.0,0,0,1
359,0.0,0.0,0,0,0
360,0.0,0.0,2,1,1
361,0.0,1.0,1,1,0
362,1.0,1.0,2,0,1
363,0.0,1.0,1,0,1
364,0.0,0.0,0,1,0
368,1.0,0.0,1,0,1
369,0.0,0.0,0,1,0
370,1.0,1.0,0,1,0
371,0.0,0.0,2,2,1
372,0.0,0.0,0,2,0
373,0.0,0.0,0,0,0
374,1.0,1.0,1,1,1
375,1.0,1.0,2,1,0
376,1.0,0.0,1,0,0
377,0.0,0.0,1,2,0
378,1.0,1.0,2,1,1
379,0.0,0.0,0,0,1
380,0.0,0.0,1,1,1
381,0.0,1.0,1,1,1
382,1.0,1.0,0,1,1
383,0.0,0.0,1,2,0
384,0.0,0.0,0,2,0
385,1.0,1.0,0,1,1
386,0.0,0.0,1,2,0
387,0.0,0.0,1,1,1
388,0.0,0.0,2,1,1
389,0.0,0.0,2,1,1
390,0.0,0.0,1,2,0
391,1.0,0.0,2,2,0
392,1.0,1.0,2,0,1
393,0.0,0.0,1,2,0
394,0.0,0.0,1,2,0
395,1.0,1.0,1,1,1
397,1.0,0.0,2,2,0
398,0.0,0.0,1,2,0
399,0.0,0.0,1,1,1
400,0.0,1.0,0,0,0
401,0.0,0.0,1,2,1
402,1.0,0.0,1,0,1
403,1.0,0.0,2,1,1
404,0.0,0.0,2,2,1
405,0.0,0.0,1,2,0
406,1.0,0.0,2,2,0
407,0.0,0.0,1,1,1
410,1.0,1.0,1,0,1
411,1.0,1.0,2,0,1
412,0.0,0.0,0,0,1
413,0.0,0.0,1,1,0
414,0.0,0.0,2,2,1
415,1.0,1.0,1,0,0
417,1.0,0.0,0,0,1
418,1.0,1.0,2,1,1
419,0.0,1.0,1,2,0
420,1.0,0.0,0,1,0
421,0.0,0.0,1,2,0
423,0.0,0.0,0,0,0
424,1.0,1.0,1,0,0
425,0.0,0.0,1,2,1
426,0.0,1.0,2,2,0
427,0.0,0.0,0,1,1
429,1.0,0.0,1,0,1
430,0.0,0.0,2,1,0
431,1.0,1.0,1,1,1
432,0.0,0.0,1,1,1
433,1.0,0.0,0,1,0
434,1.0,0.0,1,0,1
435,0.0,0.0,1,1,1
436,0.0,0.0,0,1,0
437,1.0,0.0,0,1,0
438,1.0,1.0,1,1,1
439,1.0,0.0,0,0,1
440,1.0,1.0,1,0,1
442,0.0,0.0,0,1,0
444,0.0,1.0,0,1,0
445,1.0,0.0,2,2,1
446,0.0,0.0,2,1,1
447,0.0,1.0,1,1,1
448,0.0,0.0,1,2,1
449,1.0,1.0,0,0,1
450,0.0,0.0,2,2,1
451,0.0,0.0,2,1,0
452,1.0,1.0,1,0,0
454,0.0,1.0,1,2,0
455,0.0,0.0,2,2,1
456,0.0,1.0,1,1,0
457,0.0,0.0,1,1,0
458,1.0,0.0,2,2,0
459,1.0,0.0,1,1,0
461,0.0,0.0,2,2,0
462,0.0,0.0,1,2,0
463,0.0,0.0,1,2,1
464,1.0,0.0,2,1,1
465,0.0,0.0,1,0,1
466,0.0,0.0,0,2,0
467,0.0,0.0,2,2,0
468,0.0,0.0,1,2,0
469,0.0,0.0,0,2,0
470,0.0,1.0,2,1,1
471,0.0,1.0,2,2,0
472,1.0,1.0,0,1,0
473,0.0,1.0,1,1,1
474,0.0,0.0,0,1,0
475,1.0,0.0,2,0,1
477,1.0,0.0,1,1,1
478,1.0,0.0,2,1,1
479,1.0,0.0,1,2,0
480,1.0,0.0,2,0,1
482,1.0,0.0,2,1,0
486,1.0,0.0,0,2,0
487,1.0,1.0,0,1,0
488,0.0,1.0,1,1,1
490,0.0,0.0,1,1,1
491,1.0,1.0,1,0,1
492,1.0,0.0,1,2,0
493,1.0,1.0,1,0,0
494,0.0,1.0,2,0,1
495,0.0,0.0,1,2,0
496,1.0,1.0,2,0,1
497,0.0,0.0,1,0,1
499,0.0,0.0,1,2,0
